Date,Price,Open,High,Low,Change %
01-04-2019,7.675,7.614,7.775,7.549,0.96%
01-05-2019,7.314,7.745,7.745,7.314,-4.70%
01-06-2019,7.082,7.252,7.336,7.027,-3.17%
01-07-2019,6.827,7.109,7.109,6.655,-3.60%
01-08-2019,7.003,6.871,7.046,6.78,2.58%
01-09-2019,7.173,7.014,7.24,6.982,2.43%
01-10-2019,7.124,7.165,7.247,7.124,-0.68%
01-11-2019,7.166,7.188,7.261,7.162,0.59%
01-12-2019,7.121,7.181,7.38,7.095,-0.63%
01-01-2020,7.081,7.123,7.236,7.081,-0.56%
01-02-2020,6.816,6.985,7.047,6.807,-3.74%
01-03-2020,6.76,6.816,6.872,6.6,-0.82%
01-04-2020,6.646,6.824,6.997,6.646,-1.69%
01-05-2020,6.606,6.967,6.994,6.606,-0.60%
01-06-2020,6.545,6.618,6.654,6.545,-0.92%
01-07-2020,6.41,6.527,6.538,6.396,-2.06%
01-08-2020,6.75,6.417,6.802,6.393,5.30%
01-09-2020,6.749,6.627,6.817,6.539,-0.01%
01-10-2020,6.636,6.821,6.84,6.626,-1.67%
01-11-2020,6.589,6.696,6.718,6.589,-0.71%
01-12-2020,6.545,6.643,6.643,6.545,-0.67%
01-01-2021,6.532,6.546,6.577,6.504,-0.20%
01-02-2021,6.865,6.517,6.865,6.517,5.10%
01-03-2021,6.762,6.846,6.944,6.74,-1.50%
01-04-2021,6.78,6.798,6.831,6.696,0.27%
01-05-2021,6.942,6.783,6.96,6.768,2.39%
01-06-2021,7.097,6.991,7.153,6.932,2.23%
01-07-2021,7.098,7.051,7.145,7.043,0.01%
01-08-2021,7.089,7.089,7.15,7.071,-0.13%
01-09-2021,6.971,7.125,7.125,6.864,-1.66%
01-10-2021,7.012,6.929,7.118,6.929,0.59%
01-11-2021,6.881,7.022,7.022,6.877,-1.87%
01-12-2021,7.062,6.95,7.128,6.931,2.63%
01-01-2022,7.286,7.095,7.364,7.083,3.17%
01-02-2022,7.14,7.33,7.459,7.082,-2.00%
01-03-2022,7.265,7.185,7.364,7.177,1.75%
01-04-2022,7.421,7.35,7.549,7.3,2.15%
01-05-2022,7.669,7.447,7.77,7.415,3.34%
01-06-2022,7.724,7.678,7.928,7.678,0.72%
01-07-2022,7.679,7.72,7.819,7.569,-0.58%
01-08-2022,7.462,7.691,7.711,7.462,-2.83%
01-09-2022,7.545,7.466,7.588,7.281,1.11%
01-10-2022,7.567,7.529,7.648,7.46,0.29%
01-11-2022,7.392,7.58,7.667,7.373,-2.31%
01-12-2022,7.451,7.384,7.492,7.334,0.80%
01-01-2023,7.439,7.472,7.49,7.345,-0.16%
01-02-2023,7.435,7.494,7.501,7.367,-0.05%
01-03-2023,7.395,7.469,7.53,7.366,-0.54%
01-04-2023,7.265,7.456,7.456,7.247,-1.76%
01-05-2023,7.153,7.309,7.309,7.102,-1.54%
01-06-2023,7.363,7.202,7.376,7.154,2.94%
01-07-2023,7.369,7.383,7.419,7.266,0.08%
01-08-2023,7.335,7.381,7.449,7.326,-0.46%
01-09-2023,7.412,7.357,7.458,7.274,1.05%
01-10-2023,7.511,7.446,7.593,7.423,1.34%
01-11-2023,7.501,7.545,7.545,7.403,-0.13%
01-12-2023,7.406,7.546,7.554,7.365,-1.27%
01-01-2024,7.269,7.434,7.503,7.267,-1.85%
01-02-2024,7.158,7.266,7.266,7.111,-1.53%
01-03-2024,7.121,7.155,7.212,7.093,-0.52%
01-04-2024,7.258,7.184,7.279,7.144,1.92%
01-05-2024,7.136,7.307,7.307,7.106,-1.68%
01-06-2024,7.057,7.127,7.233,7.01,-1.11%
01-07-2024,7.055,7.071,7.086,7.023,-0.03%
01-08-2024,6.999,7.056,7.074,6.962,-0.79%
01-09-2024,6.908,7.026,7.037,6.877,-1.30%
01-10-2024,6.988,6.917,7.036,6.883,1.16%
01-11-2024,7.016,7.008,7.097,6.978,0.40%
01-12-2024,7.02,7.004,7.089,6.968,0.06%
01-01-2025,7.02,7.04,7.1,6.98,0.00%
01-02-2025,7.12,7.02,7.12,6.99,1.42%
01-03-2025,6.91,7.12,7.14,6.91,-2.95%
01-04-2025,6.787,6.91,6.91,6.74,-1.78%
01-05-2025,6.817,6.78,6.86,6.75,0.44%
01-06-2025,7.047,6.82,7.06,6.81,3.37%
01-07-2025,7.039,7.01,7.03,6.93,-0.11%
01-08-2025,7.317,7.02,7.32,6.99,3.95%
01-09-2025,7.198,7.26,7.26,7.12,-1.63%
01-10-2025,7.216,7.08,7.21,7.02,0.25%
01-11-2025,7.306,7.24,7.3,7.23,1.25%
01-12-2025,7.265,7.33,7.38,7.26,-0.56%
01-01-2026,7.356,7.26,7.41,7.26,1.25%
