Date,equity_return,debt_return,cash_return,volatility,drawdown,market_indicator
2007-01-01,0.029300000000000003,0.0441,0.0025,0.06139071930403379,0.0,2
2007-02-01,-0.08259999999999999,0.0074,0.0025,0.06561083208001468,-0.08264138927670406,1
2007-03-01,0.0204,0.0182,0.0025,0.06443932546719174,-0.06396502314644711,2
2007-04-01,0.0697,0.018000000000000002,0.0025,0.06171252412645241,0.0,2
2007-05-01,0.0509,-0.0048,0.0025,0.06036333693271251,0.0,2
2007-06-01,0.0052,0.0095,0.0025,0.06022175145100055,0.0,2
2007-07-01,0.048799999999999996,-0.0197,0.0025,0.0603030196987067,0.0,2
2007-08-01,-0.0143,-0.0038,0.0025,0.06098100425898857,-0.014319308433708416,1
2007-09-01,0.1249,0.011399999999999999,0.0025,0.06286465433367747,0.0,2
2007-10-01,0.1751,-0.0139,0.0025,0.06431642508902281,0.0,2
2007-11-01,-0.023399999999999997,0.0048,0.0025,0.06336221786028258,-0.023370306661130495,1
2007-12-01,0.0652,-0.0274,0.0025,0.06326576434696571,0.0,2
2008-01-01,-0.1631,-0.0338,0.0025,0.07476275907781585,-0.16309093278597733,1
2008-02-01,0.0167,0.0191,0.0025,0.07478371664582015,-0.1490730785521129,1
2008-03-01,-0.09359999999999999,0.055099999999999996,0.0025,0.07643998877588858,-0.22873293584856486,0
2008-04-01,0.0911,-0.0031,0.0025,0.07774065755418152,-0.15845632554654165,1
2008-05-01,-0.057300000000000004,0.0067,0.0025,0.07233657593079247,-0.20664320854918058,0
2008-06-01,-0.1703,0.0924,0.0025,0.08230429741628566,-0.3417798846642557,0
2008-07-01,0.0724,0.06709999999999999,0.0025,0.08312644365097048,-0.29414687388003785,0
2008-08-01,0.0062,-0.025099999999999997,0.0025,0.0818230642336237,-0.2897403316717167,0
2008-09-01,-0.10060000000000001,-0.0329,0.0025,0.08460756970537137,-0.3612224285667742,0
2008-10-01,-0.2641,-0.1317,0.0025,0.10065229825954068,-0.5299253901541069,0
2008-11-01,-0.0452,-0.0327,0.0025,0.10007226808951473,-0.5511843091258594,0
2008-12-01,0.0741,-0.17059999999999997,0.0025,0.101510260690052,-0.5179438308409083,0
2009-01-01,-0.0285,0.1204,0.0025,0.10130064514366006,-0.5316847489655622,0
2009-02-01,-0.0387,0.0565,0.0025,0.10031033440481492,-0.5497914834001238,0
2009-03-01,0.0931,0.0168,0.0025,0.10226601917321428,-0.5078763887531359,0
2009-04-01,0.15,-0.0691,0.0025,0.10603984860774568,-0.4340810608282019,0
2009-05-01,0.2807,0.056900000000000006,0.0025,0.12034553392723756,-0.2752500570162579,0
2009-06-01,-0.0355,0.01,0.0025,0.12068059524563417,-0.30096438927442737,0
2009-07-01,0.0805,0.0187,0.0025,0.12133174758081453,-0.2447056332062686,0
2009-08-01,0.0055000000000000005,0.053,0.0025,0.12123980070654324,-0.240527156029062,0
2009-09-01,0.09050000000000001,-0.008199999999999999,0.0025,0.12000668338876389,-0.1718062750464276,0
2009-10-01,-0.0732,0.0169,0.0025,0.11555298168410437,-0.2324471377838596,0
2009-11-01,0.0681,-0.0125,0.0025,0.11635089357105348,-0.180155084221158,0
2009-12-01,0.0335,0.006,0.0025,0.11576887386425207,-0.15273026422962893,0
2010-01-01,-0.0613,0.0034000000000000002,0.0025,0.11132512892294423,-0.20469651060502397,0
2010-02-01,0.008199999999999999,0.013600000000000001,0.0025,0.1112962230956753,-0.19813964096047962,0
2010-03-01,0.0664,-0.0012,0.0025,0.11000741740472766,-0.14490274655458898,0
2010-04-01,0.0055000000000000005,0.0105,0.0025,0.10865085952426849,-0.14019483269800936,0
2010-05-01,-0.0363,-0.0095,0.0025,0.10819692962237955,-0.17142345160134234,1
2010-06-01,0.044500000000000005,-0.0125,0.0025,0.1015246892939441,-0.13457465871697136,1
2010-07-01,0.0104,0.0086,0.0025,0.10082663518296565,-0.12559867070667577,1
2010-08-01,0.006500000000000001,-0.006,0.0025,0.10082565658284762,-0.1199296256475419,1
2010-09-01,0.1162,-0.006,0.0025,0.09982621411914971,-0.017699475450428524,2
2010-10-01,-0.002,0.016,0.0025,0.07927978661183062,-0.019695044472681156,1
2010-11-01,-0.0258,0.0002,0.0025,0.07853387896269699,-0.04494510148893893,1
2010-12-01,0.0464,-0.0045000000000000005,0.0025,0.07813192566403966,-0.0006679047339784908,2
2011-01-01,-0.1025,0.0155,0.0025,0.08204820947184793,-0.10306910370442783,1
2011-02-01,-0.031400000000000004,-0.0039000000000000003,0.0025,0.08179386603981459,-0.13119440914866587,1
2011-03-01,0.09380000000000001,-0.0195,0.0025,0.08181718741069695,-0.04966116052520124,2
2011-04-01,-0.0144,0.0163,0.0025,0.07820391672147704,-0.06338578829048974,1
